avg_goals_rank	home_adv_rank	country	league	num_games	num_teams	avg_goals	home_advantage_score	left_tail	right_tail	countryCode
71	147	Mauritius	Mauritian League 2016/2017	179	10	2.916	-0.001	-0.173	0.17	MUS
72	34	Bulgaria	Parva Liga 2016/2017	182	14	2.912	0.365	0.177	0.553	BGR
73	122	Finland	Veikkausliiga 2017	198	12	2.909	0.12	-0.049	0.289	FIN
74	131	Lebanon	Premier League 2016/2017	131	12	2.901	0.094	-0.113	0.3	LBN
75	46	Venezuela	Primera Division 2017	303	18	2.891	0.331	0.186	0.476	VEN
76	26	Croatia	1. HNL 2016/2017	180	10	2.889	0.396	0.204	0.588	HRV
77	14	Greece	Super League 2016/2017	240	16	2.883	0.499	0.328	0.671	GRC
78	129	South Korea	K-League Classic 2017	198	12	2.879	0.102	-0.067	0.271	KOR
79	98	Denmark	Superliga 2016/2017	182	14	2.868	0.18	0.0	0.36	DNK
80	28	Kosovo	Superliga 2016/2017	196	12	2.867	0.386	0.2	0.571	KOS
81	92	Tajikistan	Vysshaya Liga 2017	84	8	2.833	0.189	-0.077	0.456	TJK
